code,name
00001,長和
00002,中電控股
00003,香港中華煤氣
00004,九龍倉集團
00005,匯豐控股
00006,電能實業
00007,智富資源投資
00008,電訊盈科
00009,金奧國際
00010,恒隆集團
00011,恒生銀行
00012,恒基地產
00013,和黃醫藥
00014,希慎興業
00016,新鴻基地產
00017,新世界發展
00018,東方企控集團
00019,太古股份公司Ａ
00020,商湯－Ｗ
00021,大中華控股
00022,茂盛控股
00023,東亞銀行
00025,CHEVALIER INT'L
00026,中華汽車
00027,銀河娛樂
00028,天安
00029,達力集團
00030,雲白國際
00031,航天控股
00032,港通控股
00033,INTL GENIUS
00034,九龍建業
00035,遠東發展
00036,遠東控股國際
00037,遠東酒店實業
00038,第一拖拉機股份
00039,中國北大荒
00040,金山科技工業
00041,鷹君
00042,東北電氣
00045,大酒店
00046,科聯系統
00048,中國汽車內飾
00050,香港小輪（集團）
00051,海港企業
00052,大快活集團
00053,國浩集團
00055,中星集團控股
00057,震雄集團
00058,新威國際
00059,天譽置業
00060,香港食品投資
00061,綠領控股
00062,載通
00063,中亞烯谷集團
00064,結好控股
00065,弘海高新資源
00066,港鐵公司
00069,香格里拉（亞洲）
00070,金粵控股
00071,美麗華酒店
00072,超媒體控股
00073,亞洲果業
00075,渝太地產
00076,誼礫控股
00077,進智公共交通
00078,REGAL INT'L
00079,世紀建業
00080,中國新經濟投資
00081,中國海外宏洋集團
00082,瘋狂體育
00083,信和置業
00084,寶光實業
00085,中電華大科技
00086,新鴻基公司
00087,太古股份公司Ｂ
00088,TAI CHEUNG HOLD
00089,大生地產
00090,普星能量
00092,冠軍科技集團
00093,零在科技金融
00094,綠心集團
00095,綠景中國地產
00096,YUSEI
00097,恒基發展
00098,興發鋁業
00099,王氏國際
00101,恒隆地產
00103,首佳科技
00104,ASIA COMM HOLD
00105,凱聯國際酒店
00106,朗詩綠色管理
00107,四川成渝高速公路
00108,國銳生活
00110,中國長遠
00111,信達國際控股
00113,迪生創建
00114,HERALD HOLD
00115,鈞濠集團
00116,周生生
00117,天利控股集團
00118,大同機械
00119,保利置業集團
00120,COSMOPOL INT'L
00122,鱷魚恤
00123,越秀地產
00124,粵海置地
00125,新興光學
00126,佳寧娜
00127,華人置業
00128,安寧控股
00129,泛海集團
00130,慕詩國際
00131,卓能（集團）
00132,興業控股
00133,招商局中國基金
00135,昆侖能源
00136,中國儒意
00137,金輝集團
00138,中建富通
00142,第一太平
00144,招商局港口
00145,信能低碳
00146,TAI PING CARPET
00147,國際商業結算
00148,建滔集團
00149,中國農產品交易
00150,HYPEBEAST
00151,中國旺旺
00152,深圳國際
00154,北京控股環境集團
00156,力寶華潤
00157,自然美
00158,萬邦投資
00159,布萊克萬礦業
00160,漢國置業
00162,世紀金花
00163,英皇國際
00164,中國寶力科技
00165,中國光大控股
00166,新時代集團控股
00167,IDT INT'L
00168,青島啤酒股份
00169,萬達酒店發展
00171,銀建國際
00173,嘉華國際
00174,盛洋投資
00175,吉利汽車
00176,先機企業集團
00177,江蘇寧滬高速公路
00178,莎莎國際
00179,德昌電機控股
00180,開達集團
00181,閩港控股
00182,協合新能源
00183,宏輝集團
00184,激成投資
00185,正商實業
00186,敏捷控股
00187,京城機電股份
00188,新華匯富金融
00189,東岳集團
00191,麗新國際
00193,冠中地產
00194,廖創興企業
00195,綠科科技國際
00196,宏華集團
00197,亨泰
00199,德祥地產
00200,新濠國際發展
00201,華大酒店
00202,潤中國際控股
00204,資本界金控
00205,財訊傳媒
00206,華商能源
00207,大悅城地產
00209,瀛晟科學
00210,達芙妮國際
00211,STYLAND HOLD
00212,NANYANG HOLD
00213,NATIONAL ELEC H
00214,匯漢控股
00215,和記電訊香港
00216,建業實業
00217,中國誠通發展集團
00218,申萬宏源香港
00219,順豪物業
00220,統一企業中國
00222,閩信集團
00223,易生活控股
00224,建生國際
00225,博富臨置業
00227,第一上海
00228,中能控股
00229,利民實業
00230,五礦地產
00232,大陸航空科技控股
00234,新世紀集團
00235,中策資本控股
00236,香港生力啤
00237,安全貨倉
00239,白花油
00240,利基控股
00241,阿里健康
00242,信德集團
00243,QPL INT'L
00244,先施
00245,中薇金融
00247,TST PROPERTIES
00248,香港通訊國際控股
00251,爪哇控股
00252,華信地產財務
00253,順豪控股
00254,國家聯合資源
00255,龍記集團
00256,冠城鐘錶珠寶
00257,光大環境
00258,湯臣集團
00259,億都（國際控股）
00261,ＧＢＡ集團
00262,迪臣發展國際
00264,中聯發展控股
00265,港譽智慧城市服務
00266,天德地產
00267,中信股份
00268,金蝶國際
00269,中國資源交通
00270,粵海投資
00271,亞證地產
00272,瑞安房地產
00274,復興亞洲
00276,蒙古能源
00277,太興置業
00279,裕承科金
00280,景福集團
00285,比亞迪電子
00286,愛帝宮
00287,永發置業
00288,萬洲國際
00289,WING ON CO
00290,國富量子
00291,華潤啤酒
00293,國泰航空
00294,長江製衣
00295,江山控股
00296,英皇娛樂酒店
00297,中化化肥
00298,莊士中國
00299,寶新置地
00300,美的集團
00301,三和精化
00302,中手游
00303,VTECH HOLDINGS
00305,五菱汽車
00306,冠忠巴士集團
00308,香港中旅
00309,新華通訊頻媒
00310,嘉進投資國際
00311,聯泰控股
00312,歲寶百貨
00313,裕田中國
00314,思派健康
00315,數碼通電訊
00316,東方海外國際
00317,中船防務
00318,黃河實業
00320,金寶通
00321,德永佳集團
00322,康師傅控股
00323,馬鞍山鋼鐵股份
00325,布魯可
00326,中國星集團
00327,百富環球
00329,東建國際
00330,思捷環球
00331,豐盛生活服務
